job	seqlen	epochs	lrate	dropout	times	f_in	f_out	embsize	n_heads	n_enc	n_dec	network	batchsize	complete	distinct
5476	7	20	0.00018	0.1	"(""09:56:37"", ""11:48:16"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7345308537616229	[0.9508875739644971, 0.9544378698224852, 0.9517751479289941, 0.9525781910397295, 0.9526204564666103, 0.9528317836010144, 0.9498309382924768]
5477	7	20	0.00018	0.2	"(""09:56:36"", ""11:49:14"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7125528317836008	[0.9483516483516483, 0.9475063398140321, 0.9468300929839392, 0.9480557903634826, 0.9473795435333897, 0.9471682163989856, 0.9456466610312764]
5478	7	20	0.00018	0.3	"(""09:56:39"", ""11:47:48"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6614116652578191	[0.9360524091293322, 0.9372781065088758, 0.9352493660185968, 0.9347844463229079, 0.9372781065088758, 0.9362637362637363, 0.9344463229078613]
5479	7	20	0.00018	0.4	"(""09:56:39"", ""11:49:05"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5698647506339815	[0.914370245139476, 0.9146661031276416, 0.9129332206255283, 0.9128909551986475, 0.9138207945900254, 0.9139898562975486, 0.907861369399831]
5480	7	20	0.00018	0.5	"(""09:56:42"", ""11:47:12"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.3875739644970414	[0.8568469991546914, 0.8596787827557059, 0.8588757396449704, 0.8582417582417582, 0.859847844463229, 0.8619188503803888, 0.8524091293322063]
5481	7	20	0.0002	0.1	"(""11:46:47"", ""13:37:23"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7374049027895182	[0.9514792899408284, 0.9531699070160609, 0.9538884192730347, 0.9522823330515638, 0.9540152155536771, 0.9539729501267963, 0.9502535925612848]
5482	7	20	0.0002	0.2	"(""11:46:52"", ""13:37:28"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7205832628909552	[0.94843617920541, 0.9496618765849535, 0.9473372781065089, 0.947971259509721, 0.9489856297548606, 0.948647506339814, 0.9461961115807269]
5483	7	20	0.0002	0.3	"(""11:47:15"", ""13:38:22"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6638630600169062	[0.9353761622992393, 0.9372781065088758, 0.9354606931530008, 0.9350803043110736, 0.9362214708368555, 0.937447168216399, 0.9338968723584108]
5484	7	20	0.0002	0.4	"(""11:47:51"", ""13:38:56"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5794167371090448	[0.91770921386306, 0.9179205409974641, 0.9165680473372781, 0.9161876584953508, 0.9166948436179205, 0.9163567202028741, 0.9102282333051563]
5485	7	20	0.0002	0.5	"(""11:48:19"", ""13:39:23"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.4073119188503804	[0.8663144547759932, 0.8676669484361792, 0.8661453930684699, 0.8658495350803043, 0.8657650042265427, 0.86770921386306, 0.8582840236686391]
5486	7	20	0.00022	0.1	"(""11:48:43"", ""13:41:06"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7397717666948436	[0.9510143702451395, 0.9548182586644125, 0.9531699070160609, 0.9528317836010144, 0.9539306846999155, 0.9532967032967034, 0.949788672865596]
5487	7	20	0.00022	0.2	"(""11:48:44"", ""13:41:09"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7176669484361792	[0.9475486052409129, 0.9489856297548606, 0.9492392223161454, 0.9496618765849535, 0.9502535925612848, 0.9495350803043111, 0.9468300929839392]
5488	7	20	0.00022	0.3	"(""11:48:48"", ""13:40:50"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6781487743026204	[0.9386306001690617, 0.9402366863905326, 0.9386306001690617, 0.9389687235841082, 0.9413355874894337, 0.9410397295012679, 0.9364750633981404]
5489	7	20	0.00022	0.4	"(""11:49:08"", ""13:41:45"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5924767540152156	[0.9206255283178361, 0.9205832628909552, 0.9197379543533389, 0.9195688926458158, 0.9198647506339814, 0.9210904480135249, 0.9163989856297549]
5490	7	20	0.00022	0.5	"(""11:49:17"", ""13:41:08"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.4147083685545224	[0.8683431952662722, 0.8705832628909552, 0.8692307692307693, 0.8682586644125105, 0.8680050718512257, 0.868174133558749, 0.8604395604395605]
5491	7	20	0.00023999999999999998	0.1	"(""13:37:25"", ""15:28:14"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7372358410819949	[0.9511834319526628, 0.9531276415891801, 0.9526204564666103, 0.9530431107354185, 0.9533389687235841, 0.9532544378698224, 0.9483516483516483]
5492	7	20	0.00023999999999999998	0.2	"(""13:37:31"", ""15:28:03"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7265426880811496	[0.9501267962806424, 0.95156382079459, 0.9495350803043111, 0.9489856297548606, 0.9500845308537617, 0.9492392223161454, 0.9467878275570584]
5493	7	20	0.00023999999999999998	0.3	"(""13:38:25"", ""15:29:28"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6840236686390533	[0.9402789518174134, 0.9428571428571428, 0.9407016060862214, 0.9396027049873203, 0.9415891800507186, 0.9408284023668639, 0.9366863905325444]
5494	7	20	0.00023999999999999998	0.4	"(""13:38:59"", ""15:29:52"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5879966187658495	[0.9196111580726966, 0.9189349112426035, 0.9178360101437024, 0.9185122569737955, 0.9185545224006763, 0.918596787827557, 0.914370245139476]
5495	7	20	0.00023999999999999998	0.5	"(""13:39:25"", ""15:30:23"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.4384615384615385	[0.872442941673711, 0.8769653423499577, 0.8758241758241758, 0.8759087066779374, 0.8758664412510566, 0.8751479289940829, 0.8683431952662722]
5847	7	20	0.0001	0.05	"(""16:52:27"", ""18:43:54"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6972527472527472	[0.9453085376162299, 0.9457311918850381, 0.9437869822485208, 0.9443364327979713, 0.9461961115807269, 0.943491124260355, 0.9401521555367709]
