job	seqlen	epochs	lrate	times	f_in	f_out	embsize	n_heads	n_enc	n_dec	network	complete	distinct
1402	4	39	0.000205	"(""13:34:05"", ""17:39:34"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7487851233085616	[0.9508245228692713, 0.9598834628822451, 0.9599403657717739, 0.7814587624759586]
1403	4	42	0.000205	"(""13:38:04"", ""17:53:13"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7509360525327476	[0.9519398195040344, 0.9606004392903071, 0.9605207752449669, 0.7825968202665331]
1404	4	46	0.000205	"(""13:42:57"", ""18:11:23"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7535763466068807	[0.9524633260876987, 0.9616588330355416, 0.9621937201971116, 0.783188610317632]
1405	4	50	0.000205	"(""13:50:48"", ""18:31:44"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7559093650775587	[0.9529754520934574, 0.9627741296703046, 0.9629789800726081, 0.7840535342384686]
1428	4	52	0.000205	"(""02:22:52"", ""07:10:21"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7554769031171403	[0.952895788048117, 0.9631383081632885, 0.9626261821575299, 0.7834958859210871]
1429	4	55	0.000205	"(""02:22:55"", ""07:18:18"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7581058166133676	[0.9537720925468596, 0.9632862556760632, 0.9642877465317689, 0.7846680854453789]
1430	4	57	0.000205	"(""02:22:56"", ""07:24:43"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7571612286471907	[0.9539541817933515, 0.9629562189167966, 0.9629675994947023, 0.7840307730826571]
1431	4	59	0.000205	"(""02:22:55"", ""07:31:51"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7573774596273999	[0.9531006384504205, 0.9638894263050678, 0.9637756205260103, 0.7844518544651697]
1432	4	62	0.000205	"(""02:22:58"", ""07:42:47"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7595511500073974	[0.9545687330002618, 0.9645950221352241, 0.9646064027131298, 0.7841901011733375]
1433	4	64	0.000205	"(""02:22:59"", ""07:46:47"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7586748455086549	[0.9541248904619376, 0.9637983816818217, 0.964503977511978, 0.78354140823271]
1434	4	66	0.000205	"(""02:22:58"", ""07:55:39"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7598925673445698	[0.9543411214421468, 0.9644356940445435, 0.9649250588944907, 0.7846111825558502]
1435	4	69	0.000205	"(""02:23:01"", ""08:00:48"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7607916329991237	[0.9549556726490571, 0.9647202084921872, 0.9654144237444378, 0.7851915920290432]
1436	4	71	0.000205	"(""02:23:02"", ""08:14:19"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7614289453618455	[0.9549556726490571, 0.9652550956537573, 0.9655737518351182, 0.7847249883349077]
1437	4	74	0.000205	"(""02:23:01"", ""08:17:37"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7625442419966086	[0.9558319771477995, 0.9656306547246469, 0.9659948332176308, 0.7848274135360593]
1438	4	76	0.000205	"(""07:10:24"", ""13:15:15"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7624418167954569	[0.9554222763431927, 0.9650161035177366, 0.9654599460560608, 0.7850664056720801]
1439	4	78	0.000205	"(""07:18:21"", ""13:26:29"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7637164415209005	[0.9555474627001559, 0.9656420353025527, 0.9660858778408767, 0.7858858072812938]
1440	4	81	0.000205	"(""07:24:46"", ""13:44:44"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7634660688069741	[0.9557523131024593, 0.96567617703627, 0.9663703922885204, 0.7850777862499858]
